测试,#genre#
思密达内衣秀,rtmp://123.108.164.71/etv2sb/phd43
 思密达高清4台,rtmp://123.108.164.71/etv2sb/phd10062
 思密达高清8台,rtmp://123.108.164.71/etv2sb/phd10499
 思密达高清9台,rtmp://123.108.164.71/etv2sb/phd10501
日欧1,http://64.140.160.186:8066/HLS/live/101/index.m3u8?mid=64&pwd=mars
 日欧2,http://64.140.160.186:8066/HLS/live/102/index.m3u8?mid=64&pwd=mars
日本直播1,p2p://50.7.104.10:9906/5400502a000565db01505ef032c46863
日本直播2,p2p://50.7.104.10:9906/540050290000343a015059b37121116a
韩国有码成人高清1,http://123.108.164.71/etv2sb/phd10062/playlist.m3u8
韩国有码成人高清2,http://123.108.164.110/etv1sb/phd10497/playlist.m3u8
极乱家族01,http://69.46.75.107/files/videos/140747456300c03.flv
极乱家族02,http://69.46.75.107/files/videos/1408405892924a3.flv
狂插爱神,http://120.52.73.93/s1.bbbplayer.com/3dm-78.mp4
英雄好色,http://120.52.73.94/s1.bbbplayer.com/3dm-67.mp4
极乐酷刑,http://120.52.73.90/s1.bbbplayer.com/3dm-69.mp4
香港学院1994,http://120.52.73.91/s1.bbbplayer.com/20158cn-003.mp4
爱用国货,p2p://61.221.233.81:9000/5606ca47000dee8e0196370f050348e3.ts
韩-新唐人TND http://123.108.164.71/etv2/phd1058/playlist.m3u8
韩国高清4 rtmp://123.108.164.71/etv2sb/phd10062
韩国标清4 http://123.108.164.75/etv2sb/pld10062/playlist.m3u8
韩国标清7playboy http://123.108.164.110/etv1sb/pld10497/playlist.m3u8
韩国高清1台 http://123.108.164.75/etv2sb/phd10059/playlist.m3u8
84日本無碼  http://120.52.73.65/data1.cache.directory/media/videos/iphone/4133.mp4
85日本無碼  http://120.52.73.65/data1.cache.directory/media/videos/iphone/4134.mp4
154日本無碼  http://120.52.73.65/data1.cache.directory/media/videos/iphone/4240.mp4
日本無碼  http://120.52.73.65/data1.cache.directory/media/videos/iphone/4279.mp4
日本無碼  http://120.52.73.65/data1.cache.directory/media/videos/iphone/4240.mp4
日本無碼  http://120.52.73.65/data1.cache.directory/media/videos/iphone/4241.mp4
日本無碼  http://120.52.73.65/data1.cache.directory/media/videos/iphone/4294.mp4
一本道2,rtmp://198.211.33.185/livepkgr/1C
一本道3,rtmp://198.211.33.185/livepkgr/3C
绝美女优13,http://69.46.86.186:1935/vod/mp4:ab-009-5.mp4/playlist.m3u8
绝美女优14,http://69.46.86.186:1935/vod/mp4:ab-006-5.mp4/playlist.m3u8
绝美女优15,http://69.46.86.186:1935/vod/mp4:ab-003-5.mp4/playlist.m3u8
绝美女优16,http://69.46.86.186:1935/vod/mp4:ab-002-5.mp4/playlist.m3u8
绝美女优17,http://69.46.86.186:1935/vod/mp4:ab-001-5.mp4/playlist.m3u8
绝美女优18,http://v.oywine.com:8091/wuma/20160422/17994/1/hls/index.m3u8
撞够本,http://120.52.73.90/s1.bbbplayer.com/3dm-60.mp4/playlist.m3u8
新木紫织,http://23.27.103.162:1935/vod/mp4:mkd-s114-500.mp4/playlist.m3u8
东京热,p2p://61.221.233.81:9000/5606ca1a0000960e019583e61e8c38f0.ts
春天之爱,p2p://61.221.233.81:9000/5606c9f5000bffa40194f648464f5cf3.ts
